青春無敵調理機能水
健康化妝水N
極潤金緻特濃保濕精華水
極潤健康化粧水
菁萃亮妍能量精露(水潤型) DAILY LOTION-IN-GEL
等滲透壓活泉噴霧 Spa Water
嘉美艷容露 Revitalizing cream
玫瑰精萃超導修護露
杏仁酸青春精華露
保濕修護化粧水(滋潤型)
天氣丹華炫重生水
保濕專科化粧水(清爽型)
敏感肌化妝水(保濕型) LIGHT TONING WATER HIGH MOISTURE
透皙明亮喚采機能水 ULTRA-BRIGHTENING WHITENING LOTION
深層保濕高機能奈米化妝水 HYDRAMAX+ ACTIVE NANOLOTION
芯美顏 滲透露
菜瓜水
溫泉舒緩噴液 Thermal Spring Water
蘆薈凝膠柔膚水
噴霧式菜瓜水
白潤高效集中淡斑化粧水(清爽型)
菁萃亮妍能量泡泡精露
青春活顏菁粹 BIO ESSENCE
玻尿酸清爽保濕化粧水
濃縮精華露 Treatment Lotion
台酒酒粕精粹活膚青春露
青春活膚調理露
茶樹控油痘痘粉刺露
極潤保濕化粧水(清爽型)
酵 飛燕御藏水凝露 Hyo Fermented Toner
玻尿酸保濕化妝水  INTENSIVE HYDRATING TONER WITH HYALURONIC ACID
肌滲透前導菁露
潤澤活顏化妝水
極潤保濕化粧水-清爽型(升級版)
極潤保濕化粧水(升級版)
保濕美白機能化妝水
莉薇特麗抗皺精露AA Revital Retino Science Lotion AA
舒護活泉水 Thermal Spring Water
絕對完美玫瑰花瓣精露
透美顏飽水控油雙效化妝水
金盞花植物精華化妝水 Calendula Herbal Extract Toner
紅色夢露 Revitalizing Essence
藥用雪肌精
蘂花譚清新恆水凝露
芯美顏保濕滲透露升級版(清爽型)
玻尿酸濃密保濕化粧水
白潤美白化粧水-潤澤型(升級版)
洋甘菊化妝水 Toning Lotion With Camomile
男士活能青春露
超水妍舒緩保濕凝露(升級版) HYDRA ZEN NEOCALM Multi-Relief Anti-Stress Moisturizing Aqua Gel
極潤alpha緊緻彈力保濕化粧水(清爽型)
不調姬敏弱律化活感平衡液
芯美顏美白瀅潤滲透露(清爽型)
水潤肌保濕化妝水 SUPER HYDRO LOTION
極潤alpha緊緻彈力保濕化粧水(升級版)
玻尿酸深度潤澤化妝水
高機能鑽白彈力露 Super Aqua Lotion
皇家蜂王乳提顏凝露
環采鑽白潤透晶露
極潤alpha緊緻彈力保濕化粧水
匈牙利皇后青春露 Hungary's Royal Water Lotion
涵沛吟釀青春精露
精純角質美容液
AC化妝水(紅)
碧麗妃青春草本化妝水(清爽型) Benefique Nutrient Lotion (Light)
優白按摩精 UV White Whitening Effector
透美顏飽水控油雙效化妝水(美白)
玻尿酸保濕精華露
胺基酸亮白化粧水(清爽型)
智慧美白高機能化妝水(潤澤) WHITE PLUS Brightening Aqua Treatment Lotion
極潤α抗皺緊實高機能化粧水(濃潤型)
米粹舒緩活酵水精華
零毛孔緊膚化粧水 Super-Keana Lotion
水清新3合1毛孔緊緻保濕精華露
玫瑰保濕嫩白化妝水 Rose Flower Moisturizing Toner
24K生物黃金精華露
雪肌精(極潤型)
智慧動能保濕精萃水 AQUALIA ESSENCE WATER
水清新3合1保濕智慧水
保濕控油舒敏化妝水
天氣丹津率享滋養液
芯美顏 美白滲透露
玻尿酸保濕賦活露  D'Origine Hydrating Toner
平衡感化妝水 Faye “morning dew” Toning Water
活膚精華露 Essential Water Face
全新膠原蛋白化妝水
超濃潤保濕化粧水(濃潤型II)
活水潤澤酵能水凝露
彈力亮澤濃潤化粧水
肌本柔潤保濕露 Porphyridium Cruentum Moisturizing Lotion
萵苣黃瓜水嫩化妝水
茶樹之歌 柔膚水 Tea Tree Water
香芹籽抗氧化活膚調理液 Parsley Seed Anti-Oxidant Facial Toner
碧麗妃青春草本均衡液 Benefique Herbal Balancing
溫泉舒緩噴霧 Thermal spa water
亮采化妝水 Clear Lotion
活顏悅色均衡柔膚水 The Skincare Hydro-Balancing Softner
紅玫瑰潤澤化粧水(極潤)
名模肌密保濕持妝噴霧
新淨痘粉刺調理露
自律循環液（舒緩2）
自律循環液（舒緩１）
三步驟溫和潔膚水 Clarifying Lotion Twice A Day Exfoliator
潤浸保濕化粧水II(輕潤型)
紅の活妍肌精化妝水(清爽/滋潤型) red:juvenus vitalizing refining lotion
美白專科化粧水(滋潤型)
敏感肌化妝水(清爽型) Light Toning Water
冰河保濕機能水 Ultra Facial Toner
橙花露N PAUL&JOE MOISTURE LOTION N
新肌密淨白CE化妝水
再生修護肌能水
vitoas蜜得絲 多效極妍鎖濕菁華
超瞬間滲透美妍水EX
深層涵水保濕露(極潤)
森玫瑰水立方晶凍精華化妝水EX Rose & BOTANIC HA Aqua Cubic Jelly Lotion EX
薏仁清潤化妝水
極效保濕精萃露 Hydraphel Skin Supplement
拱辰享氣津滋養液 Gonginyang In-Yang Balancer
燕窩素彈力保濕化妝水
燕窩滋養膠原白機能水
美白熊果素激光化妝水 Whitening Toner With Arbutin
雪玫瑰保濕精萃花水 SNOW ROSE HYDRATING FLOWER WATER
煥顏緊緻彈力精華露–檸檬百里香 Extra-Firming Treatment Essence Bounciness
漾采肌活精華露- 紫絨草 Multi-Active Treatment Essence Vitality
毛孔冰沁凝露
高純度維他命C美白化粧水
ME濕潤平衡液(基礎2)
和漢淨肌化妝水L
女兒化妝水
緊囊妙劑十合一毛孔對策調理液
活感平衡液 I、Ⅱ、 Ⅲ Wellbalance Balancing Primer WT I、Ⅱ、 Ⅲ
巡白水 Wellbalance Clarifying Refiner WT
玻尿酸保濕化妝水
淨白肌密柔膚水 I．II WHITENING CLEAR LOTION
有機山茶花露水
敏感話題淨荳化粧水 d'program acne care lotion
天然果油柔膚露
雪肌精極淬精質化粧水
透明質酸清爽保濕化粧水
舒緩美肌化妝水(滋潤型)
Upra™醒膚凍齡露
多容安舒緩保濕化妝水 Toleriane Hydration Lotion
玻尿酸保濕精華露 Hydrating lotion
杏仁酸亮白化妝水 Intensive Renewal Toner With Mandelic Acid
淨痘粉刺調理化妝水 ACNECUR PORE REFINING TONER WITH AC.NET&#8482
潤膚露N Impress Lotion
舒護活泉化妝水 Avene Gentle Toner
美白專科化粧水(清爽型)
活感平衡液I．II．III SENSIENCE BALANCING PRIMER  I．II．III
Q10晶妍緊緻化粧水 DHC Q Lotion
水蜜桃清酒緊緻化妝水
平衡舒緩水 Balancing Lotion
海洋深層保濕化妝水(清爽)
藍色收斂水 Blue Astringent Herbal Lotion
愛玉膚舒美露 Facial Soothing Lotion
溫和保濕水 Tonique Confort
潤・植萃角鯊化妝水
秘之湧水美媒
原液保濕化妝水 Original liquid moisturizing lotion
完美保濕化粧水(滋潤型)
怡麗絲爾淨白柔膚水 II滋潤型
魚子奇蹟高水感保濕菁露
晶透亮白活膚露 Moisture Lotion
玫瑰水凝露
三分子玻尿酸保濕化妝水
芯美顏 美白瀅潤滲透露  (滋潤型)
白金舒潤水凝露
